image,blur,laplacian_var,occlusion_low_contrast,contrast,lighting
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000717.jpg,No,837.28,No,51.12,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000734.jpg,No,636.37,Yes,24.27,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000743.jpg,No,647.54,Yes,25.41,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000751.jpg,No,637.60,No,34.91,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000752.jpg,No,630.69,No,34.36,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000757.jpg,No,651.94,Yes,18.06,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000760.jpg,No,233.44,No,37.17,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000762.jpg,No,143.26,Yes,25.75,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000780.jpg,No,181.62,No,30.89,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000796.jpg,No,153.38,Yes,23.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000818.jpg,No,537.05,No,42.71,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000825.jpg,No,525.09,No,42.79,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000835.jpg,No,1055.97,Yes,19.39,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000839.jpg,No,1029.73,No,30.78,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000843.jpg,No,1021.76,Yes,23.75,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000859.jpg,No,1116.66,No,49.66,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000864.jpg,No,1150.23,No,58.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000885.jpg,No,622.02,Yes,8.35,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000904.jpg,No,906.39,No,43.47,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000910.jpg,No,775.56,No,40.99,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000915.jpg,No,787.56,No,31.93,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_000933.jpg,No,806.61,No,39.61,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001670.jpg,Yes,99.73,No,58.94,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001677.jpg,No,1259.44,No,87.93,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001680.jpg,No,1203.07,No,94.87,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001704.jpg,No,152.76,No,86.73,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001713.jpg,No,187.30,No,77.42,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001714.jpg,Yes,25.12,No,58.03,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001720.jpg,No,1572.29,No,87.51,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001725.jpg,No,1294.35,No,86.18,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001749.jpg,No,118.19,No,84.51,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\test\img_001778.jpg,No,1134.70,No,73.96,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000000.jpg,No,2804.54,No,64.38,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000001.jpg,No,411.22,No,58.55,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000002.jpg,No,771.41,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000004.jpg,No,478.67,No,46.68,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000008.jpg,No,329.74,Yes,27.16,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000011.jpg,No,550.07,No,53.53,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000014.jpg,No,1194.62,No,60.80,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000015.jpg,Yes,83.85,No,51.74,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000018.jpg,No,1607.11,No,61.44,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000022.jpg,No,1588.62,No,55.03,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000023.jpg,No,276.74,Yes,27.14,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000025.jpg,No,1005.47,No,31.66,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000026.jpg,No,1588.82,No,56.27,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000031.jpg,No,848.18,No,55.30,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000032.jpg,No,623.88,No,61.44,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000033.jpg,No,789.28,No,85.96,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000035.jpg,No,3385.71,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000036.jpg,No,6305.57,No,98.54,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000038.jpg,No,361.93,Yes,14.90,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000039.jpg,No,16527.36,No,67.90,Too Bright
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000041.jpg,No,627.94,No,57.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000042.jpg,No,685.96,No,66.14,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000043.jpg,No,1445.34,No,91.41,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000044.jpg,No,1380.33,No,72.39,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000045.jpg,No,105.64,No,43.59,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000046.jpg,No,870.10,No,69.83,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000048.jpg,No,382.11,No,51.37,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000050.jpg,No,1169.83,Yes,28.54,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000051.jpg,No,494.47,No,46.43,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000052.jpg,No,584.52,No,52.88,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000053.jpg,No,139.05,No,32.19,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000054.jpg,No,642.81,No,56.85,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000056.jpg,No,314.25,No,65.95,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000058.jpg,No,598.49,No,52.37,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000059.jpg,No,139.91,No,58.15,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000062.jpg,No,596.15,No,106.78,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000063.jpg,No,475.27,No,64.29,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000064.jpg,No,677.16,No,47.05,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000066.jpg,No,355.14,No,40.68,Too Dark
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000068.jpg,No,280.71,No,67.01,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000069.jpg,No,430.96,No,38.05,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000070.jpg,No,1990.54,No,57.07,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000071.jpg,Yes,45.81,Yes,28.98,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000072.jpg,No,182.71,No,88.62,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000073.jpg,No,1671.17,No,75.33,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000075.jpg,No,3319.04,No,64.56,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000076.jpg,No,1110.44,No,77.71,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000077.jpg,No,259.97,No,83.51,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000079.jpg,No,876.89,No,56.20,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000080.jpg,Yes,99.99,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000081.jpg,No,158.28,No,72.71,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000082.jpg,No,592.20,No,62.33,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000083.jpg,No,528.40,No,78.03,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000084.jpg,No,505.72,No,40.89,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000086.jpg,No,238.78,No,55.28,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000087.jpg,No,2043.42,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000088.jpg,No,1125.52,No,54.61,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000089.jpg,No,1236.75,No,70.63,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000180.jpg,No,2804.54,No,64.38,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000182.jpg,No,771.41,No,0.00,Unknown
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000184.jpg,No,950.12,No,58.64,Good
D:\Guvi\Projects\major\number-plate-vehicle-detection\data\final_merged_datasets\images\train\img_000185.jpg,No,478.67,No,46.68,Good
