epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,1188.5,0.86092,0.49323,1.05516,0.92657,0.91932,0.95422,0.70055,0.97631,0.48463,1.11549,0.000367166,0.000367166,0.000367166
54,1210.62,0.8573,0.49065,1.05,0.92993,0.93236,0.96112,0.71507,0.93309,0.47241,1.09844,0.000362547,0.000362547,0.000362547
55,1232.75,0.8533,0.48175,1.04849,0.94589,0.92971,0.96355,0.72237,0.94379,0.46004,1.11299,0.00035788,0.00035788,0.00035788
56,1255.14,0.85137,0.48161,1.04625,0.9403,0.92183,0.96235,0.72693,0.91932,0.46038,1.09742,0.000353167,0.000353167,0.000353167
57,1277.53,0.84905,0.48102,1.05021,0.94508,0.93073,0.96689,0.71985,0.93516,0.47678,1.09777,0.00034841,0.00034841,0.00034841
58,1299.57,0.84716,0.47157,1.04342,0.93987,0.93641,0.96523,0.72978,0.92101,0.46156,1.09525,0.000343611,0.000343611,0.000343611
59,1322.2,0.83544,0.47547,1.04834,0.95541,0.93335,0.9642,0.71273,0.95027,0.46459,1.11332,0.000338772,0.000338772,0.000338772
60,1344.35,0.83924,0.46637,1.03926,0.93957,0.92039,0.95886,0.72788,0.89596,0.45275,1.07726,0.000333894,0.000333894,0.000333894
61,1366.56,0.83499,0.46969,1.03917,0.9378,0.93831,0.96422,0.7345,0.90829,0.44315,1.08546,0.000328982,0.000328982,0.000328982
62,1388.86,0.83241,0.47062,1.04499,0.92224,0.92742,0.95818,0.7139,0.93598,0.45967,1.11456,0.000324035,0.000324035,0.000324035
63,1411.12,0.83502,0.47201,1.0448,0.95164,0.9207,0.96408,0.73275,0.8755,0.43481,1.07415,0.000319058,0.000319058,0.000319058
64,1433.43,0.81642,0.45632,1.02939,0.95017,0.93044,0.96457,0.72586,0.93371,0.45427,1.10465,0.000314051,0.000314051,0.000314051
65,1455.5,0.83567,0.46693,1.03692,0.94879,0.92963,0.97183,0.74177,0.8687,0.42657,1.07159,0.000309017,0.000309017,0.000309017
66,1477.78,0.81776,0.45935,1.03238,0.93251,0.94335,0.96753,0.73609,0.88063,0.44526,1.07891,0.000303958,0.000303958,0.000303958
67,1499.96,0.81697,0.45748,1.02776,0.92426,0.9491,0.96631,0.73074,0.89762,0.4607,1.08169,0.000298877,0.000298877,0.000298877
68,1522.08,0.80651,0.4547,1.02606,0.96157,0.92391,0.96706,0.72629,0.92815,0.44847,1.10663,0.000293775,0.000293775,0.000293775
69,1544.4,0.80501,0.45336,1.02265,0.95846,0.92475,0.97177,0.73693,0.89063,0.44047,1.08573,0.000288656,0.000288656,0.000288656
70,1566.72,0.81174,0.44958,1.03147,0.95118,0.94882,0.97253,0.74549,0.88036,0.42046,1.07317,0.00028352,0.00028352,0.00028352
71,1589.12,0.8134,0.44279,1.03322,0.95379,0.94599,0.97316,0.73571,0.93396,0.42876,1.11273,0.000278371,0.000278371,0.000278371
